"Mineral Name","RRUFF Chemistry (plain)","Database ID","Country of Type Locality"
"Aksaite","MgB6O7(OH)6·2H2O","818","Kazakhstan"
"Aktashite","Cu1+6Hg2+3As3+4S2-12","819","Russia"
"Alabandite","Mn2+S2-","820","Romania / Turkey"
"Alacránite","As8S9","821","Russia"
"Alamosite","Pb2+SiO3","822","Mexico"
"Alarsite","AlAs5+O4","823","Russia"
"Albertiniite","Fe2+(S4+O3)·3H2O","6410","Italy"
"Albite","NaAlSi3O8","824","Sweden"
"Albrechtschraufite","Ca4Mg(U6+O2)2(CO3)6F2·17H2O","825","Czech Republic"
"Alburnite","Ag1+8Ge4+Te2-2S2-4","6132","Romania"
"Alcantarillaite","[Fe3+0.5(H2O)4][CaAs3+2(Fe3+2.5W6+0.5)(As5+O4)2O7]","6954","Spain"
"Alcaparrosaite","K3Ti4+Fe3+(S6+O4)4O·2H2O","5952","Chile"
"Aldermanite","[Mg(H2O)6][Na(H2O)2Al3(PO4)2(OH)6]·H2O","826","Australia"
"Aldomarinoite","Sr2Mn3+(As5+O4)2(OH)","7160","Italy"
"Aldridgeite","(Cd2+,Ca)(Cu2+,Zn2+)4(S6+O4)2(OH)6·3H2O","5856","Australia"
"Aleksandrovite","KCa7Sn4+2Li3Si12O36F2","5736","Tajikistan"
"Aleksite","Pb2+Bi3+2Te2-2S2-2","4935","Russia"
"Aleutite","[Cu2+5O2](As5+O4)(V5+O4)·(Cu2+0.5[box]0.5)Cl","6757","Russia"
"Alexkhomyakovite","K6(Ca2Na)(CO3)5Cl·6H2O","6418","Russia"
"Alexkuznetsovite-(Ce)","Ce2Mn2+(CO3)(Si2O7)","7002","Russia"
"Alexkuznetsovite-(La)","La2Mn2+(CO3)(Si2O7)","6965","Russia"
"Alflarsenite","NaCa2Be3Si4O13(OH)·2H2O","5682","Norway"
"Alforsite","Ba5(PO4)3Cl","827","USA"
"Alfredopetrovite","Al2(Se4+O3)3·6H2O","6427","Bolivia"
"Alfredstelznerite","Ca4B16O16(OH)24·19H2O","5650","Argentina"
"Algodonite","Cu1-xAsx (x ≈ 1/7)","828","Chile"
"Alicewilsonite-(YCe)","Na2Sr2YCe(CO3)6·3H2O","7069","Canada"
"Alicewilsonite-(YLa)","Na2Sr2YLa(CO3)6·3H2O","7153","Australia"
"Aliettite","Ca0.2Mg6(Si,Al)8O20(OH)4·4H2O","829","Italy"
"Allabogdanite","(Fe,Ni)2P","830","Russia (meteorite)"
"Allactite","Mn2+7(As5+O4)2(OH)8","4920","Sweden"
"Allanite-(Ce)","CaCeAl2Fe2+(Si2O7)(SiO4)O(OH)","832","Denmark (Greenland)"
"Allanite-(La)","CaLaFe2+Al2(Si2O7)(SiO4)O(OH)","4939","Italy"
"Allanite-(Nd)","CaNdAl2Fe2+(Si2O7)(SiO4)O(OH)","5902","Sweden"
"Allanite-(Y)","CaYAl2Fe2+(Si2O7)(SiO4)O(OH)","833","South Africa"
"Allanpringite","Fe3+3(PO4)2(OH)3·5H2O","5296","Germany"
"Allantoin","C4H6N4O3","7042","USA"
"Allargentum","Ag1-xSbx (x=0.09-0.16)","834","Canada"
"Alleghanyite","Mn2+5(SiO4)2(OH)2","835","USA"
"Allendeite","Sc3+4Zr4+3O12","5629","Mexico (meteorite)"
"Allochalcoselite","Cu1+Cu2+5Pb2+O2(Se4+O3)2Cl5","5282","Russia"
"Alloclasite","Co3+(AsS)3-","836","Romania"
"Allophane","Al2O3(SiO2)1.3-2.0·2.5-3.0H2O","837","Germany"
"Alloriite","(Na,K,Ca)24(Na,Ca)4Ca4(Si,Al)48O96(S6+O4)4(SO3,CO3)2(OH,Cl)2(H2O,OH)4","5356","Italy"
"Alluaivite","Na19(Ca,Mn2+)6(Ti4+,Nb5+)3Si26O74Cl·2H2O","838","Russia"
"Alluaudite","[box]NaMn2+Fe3+2(PO4)3","839","France"
"Almandine","Fe2+3Al2(SiO4)3","840","Turkey"
"Almarudite","K([box],Na)2Mn2+2(Be3Si12)O30","4940","Germany"
"Almeidaite","Pb2+Zn2+2(Mn2+,Y3+)(Ti4+,Fe3+)18O36(OH,O)2","6157","Brazil"
"Alnaperbøeite-(Ce)","(CaCe2.5Na0.5)Al4(Si2O7)(SiO4)3O(OH)2","6110","Norway"
"Alpeite","Ca4Mn3+2Al2(Mn3+Mg)(SiO4)2(Si3O10)(V5+O4)(OH)6","6600","Italy"
"Alpersite","MgS6+O4·7H2O","5245","USA"
"Alsakharovite-Zn","NaSrKZn2+(Ti4+,Nb5+)4(Si4O12)2(O,OH)4·7H2O","841","Russia"
"Alstonite","BaCa(CO3)2","842","United Kingdom"
"Altaite","Pb2+Te2-","843","Kazakhstan"
"Alterite","Zn2+2Fe3+4(S6+O4)4((C2)6+O4)2(OH)4·17H2O","6741","USA"
"Althausite","Mg4(PO4)2(OH,O)(F,[box])","844","Norway"
"Althupite","AlTh4+(U6+O2)7(PO4)4O2(OH)5·15H2O","845","Democratic Republic of the Congo"
"Altisite","Na3K6Ti4+2Al2Si8O26Cl3","846","Russia"
"Aluminite","Al2S6+O4(OH)4·7H2O","847","Germany"
"Aluminium","Al","4921","Russia"
"Aluminoceladonite","KMgAlSi4O10(OH)2","850","Austria / Poland"
"Aluminocerite-(Ce)","(Ce,Ca)9Al(SiO4)3(SiO3OH)4(OH)3","5659","Italy"
"Aluminocopiapite","(Al,Mg)Fe3+4(S6+O4)6(OH,O)2·20H2O","851","USA"
"Aluminocoquimbite","Al2Fe3+2(S6+O4)6(H2O)12·9H2O","5826","Italy"
"Aluminomagnesiohulsite","Mg2AlO2(BO3)","4925","Russia"
"Alumino-oxy-rossmanite","Al3Al6(Si5AlO18)(BO3)3(OH)3O","7080","Austria"
"Aluminopyracmonite","(N3-H4)3Al(S6+O4)3","6128","Italy"
"Aluminosugilite","KNa2Al2Li3Si12O30","6879","Italy"
"Alum-(K)","KAl(S6+O4)2·12H2O","3698","Italy ?"
"Alum-(Na)","NaAl(S6+O4)2·12H2O","4130","?"
"Alumoåkermanite","(Ca,Na)2(Al,Mg,Fe2+)(Si2O7)","5709","Tanzania"
"Alumoedtollite","K2NaCu2+5AlO2(As5+O4)4","6661","Russia"
"Alumohydrocalcite","CaAl2(CO3)2(OH)4·3H2O","856","Russia"
"Alumoklyuchevskite","K3Cu2+3AlO2(S6+O4)4","857","Russia"
"Alumotantite","AlTa5+O4","859","Russia"
"Alumovesuvianite","Ca19Al(Al10Mg2)Si18O69(OH)9","6543","Canada"
"Alunite","KAl3(S6+O4)2(OH)6","860","Italy / Ukraine"
"Alunogen","Al2(S6+O4)3(H2O)12·5H2O","861","?"
"Alvanite","Zn2+Al4(V5+O3)2(OH)12·2H2O","862","Kazakhstan"
"Alwilkinsite-(Y)","Y3+(U6+O2)3(S6+O4)2O(OH)3(H2O)7·7H2O","6495","USA"
"Amakinite","Fe2+(OH)2","863","Russia"
"Amamoorite","CaMn2+2Mn3+(Si2O7)O(OH)","6832","Australia"
"Amarantite","Fe3+2O(S6+O4)2·7H2O","864","Chile"
"Amarillite","NaFe3+(S6+O4)2·6H2O","865","Chile"
"Amblygonite","LiAlPO4F","866","Germany"
"Ambrinoite","[K,(N3-H4)]2(As3+,Sb3+)6(Sb3+,As3+)2S2-13·H2O","5801","Italy"
"Ameghinite","NaB3O3(OH)4","867","Argentina"
"Amesite","Mg2Al(AlSiO5)(OH)4","868","USA"
"Amgaite","Tl3+2Te6+O6","7206","Russia"
"Amicite","K2Na2(Si4Al4O16)·5H2O","869","Germany"
"Aminoffite","Ca3(BeOH)2Si3O10","870","Sweden"
"Ammineite","Cu2+Cl2(N3-H3)2","5692","Chile"
"Ammonioalunite","N3-H4Al3(S6+O4)2(OH)6","871","USA"
"Ammonioborite","(N3-H4)3B15O20(OH)8·4H2O","872","Italy"
"Ammoniojarosite","N3-H4Fe3+3(S6+O4)2(OH)6","873","USA"
"Ammoniolasalite","[(N3-H4)2Mg2(H2O)20]·[V5+10O28]","6723","USA"
"Ammonioleucite","(N3-H4)AlSi2O6","874","Japan"
"Ammoniomagnesiovoltaite","(N3-H4)2Mg5Fe3+3Al(S6+O4)12·18H2O","5769","Hungary"
"Ammoniomathesiusite","(N3-H4)5(U6+O2)4(S6+O4)4(V5+O5)·4H2O","6708","USA"
"Ammoniotinsleyite","(N3-H4)Al2(PO4)2(OH)·2H2O","7011","Chile"
"Ammoniovoltaite","(N3-H4)2Fe2+5Fe3+3Al(S6+O4)12(H2O)18","6663","Russia"
"Ammoniozippeite","(N3-H4)2[(U6+O2)2(S6+O4)O2]·H2O","6705","USA"
"Amstallite","CaAl(Si,Al)4O8(OH)4·(H2O,Cl)","875","Austria"
"Analcime","NaAlSi2O6·H2O","876","Italy"
"Anandite","BaFe2+3(Si3Fe3+)O10S2-(OH)","877","Sri Lanka"
"Anapaite","Ca2Fe2+(PO4)2·4H2O","878","Russia"
"Anastasenkoite","CaFe2+P2O7","7036","Israel"
"Anatase","Ti4+O2","879","France"
"Anatolyite","Na6(Ca,Na)(Mg,Fe3+)3Al(As5+O4)6","6568","Russia"
"Ancylite-(Ce)","CeSr(CO3)2(OH)·H2O","880","Denmark (Greenland)"
"Ancylite-(La)","LaSr(CO3)2(OH)·H2O","881","Russia"
"Andalusite","Al2SiO5","882","Spain"
"Andersonite","Na2Ca(U6+O2)(CO3)3·5-6H2O","883","USA"
"Andorite IV","Ag1+Pb2+Sb3+3S2-6","5368","Bolivia"
"Andorite VI","Ag1+Pb2+Sb3+3S2-6","884","Romania"
"Andradite","Ca3Fe3+2(SiO4)3","885","Norway"
"Andreadiniite","Cu1+Hg2+Ag1+7Pb2+7Sb3+24S2-48","6345","Italy"
"Andrémeyerite","BaFe2+2Si2O7","886","Democratic Republic of the Congo"
"Andreyivanovite","FeCrP","5517","Yemen (meteorite)"
"Andrianovite","Na12(K,Sr,Ce3+)3Ca6Mn2+3Zr4+3Nb5+Si25O73(O,H2O,OH)5","5601","Russia"
"Anduoite","RuAs2","888","China"
"Andychristyite","Pb2+Cu2+Te6+O5(H2O)","6425","USA"
"Andymcdonaldite","Fe3+2Te6+O6","6878","USA"
"Andyrobertsite","KCd2+Cu2+5(As5+O4)4[As5+(OH)2O2]·2H2O","889","Namibia"
"Angarfite","NaFe3+5(PO4)4(OH)4·4H2O","5920","Morocco"
"Angastonite","CaMgAl2(PO4)2(OH)4·7H2O","5667","Australia"
"Ángelaite","Cu1+2Ag1+Pb2+Bi3+S2-4","5262","Argentina"
"Angelellite","Fe3+4O3(As5+O4)2","890","Argentina"
"Anglesite","Pb2+S6+O4","891","United Kingdom"
"Anhydrite","CaS6+O4","892","Austria"
"Anhydrokainite","KMgS6+O4Cl","5371","Germany"
"Anilite","Cu7S4","893","Japan"
"Ankerite","CaFe2+(CO3)2","895","Austria"
"Ankinovichite","Ni2+Al4(V5+O3)2(OH)12·2H2O","5185","Kazakhstan / Kyrgyzstan"
"Annabergite","Ni2+3(As5+O4)2·8H2O","896","Germany"
"Annite","KFe2+3AlSi3O10(OH)2","897","USA"
"Anorpiment","As3+2S2-3","5921","Peru"
"Anorthite","CaAl2Si2O8","898","Italy"
"Anorthominasragrite","V4+O(S6+O4)·5H2O","4970","USA"
"Ansermetite","Mn2+V5+2O6·4H2O","4971","Switzerland"
"Antarcticite","CaCl2·6H2O","900","Antarctica"
"Anthoinite","AlW6+O3(OH)3","901","Democratic Republic of the Congo"
"Anthonyite","Cu2+(OH)2·3H2O","902","USA"
"Anthophyllite","[box]Mg2Mg5Si8O22(OH)2","903","Norway"
"Antigorite","Mg3Si2O5(OH)4","904","Italy / Switzerland"
"Antimonselite","Sb3+2Se2-3","906","China"
"Antimony","Sb","907","Sweden"
"Antipinite","KNa3Cu2+2((C2)6+O4)4","6323","Chile"
"Antlerite","Cu2+3(S6+O4)(OH)4","908","USA"
"Antofagastaite","Na2Ca(S6+O4)2·1.5H2O","6786","Chile"
"Anyuiite","AuPb2","909","Russia"
"Anzaite-(Ce)","Ce3+4Fe2+Ti4+6O18(OH)2","6167","Russia"
"Apachite","Cu2+9Si10O29·11H2O","910","USA"
"Apexite","NaMg(PO4)·9H2O","6408","USA"
"Aphthitalite","K3Na(S6+O4)2","911","Italy"
"Apjohnite","Mn2+Al2(S6+O4)4·22H2O","912","South Africa"
"Aplowite","Co2+S6+O4·4H2O","913","Canada"
"Apuanite","Fe2+Fe3+4Sb3+4O12S2-","914","Italy"
"Aqualite","(H3O)8(Na,K,Sr)5Ca6Zr4+3Si26O66(OH)9Cl","915","Russia"
"Aradite","BaCa6(SiO4)(V5+O4)(V5+O4)2F","6211","Israel"
"Aragonite","CaCO3","916","Spain"
"Arakiite","Zn2+Mn2+12Fe3+2(As3+O3)(As5+O4)2(OH)23","917","Sweden"
"Aramayoite","Ag1+3Sb3+2(Bi3+,Sb3+)S2-6","918","Bolivia"
"Arangasite","Al2(S6+O4)(PO4)F·9H2O","6078","Russia"
"Arapovite","(K1-x[box]x)(Ca,Na)2U4+Si8O20 (x~0.5)","5186","Tajikistan"
"Aravaipaite","Pb2+3AlF9·H2O","919","USA"
"Aravaite","Ba2Ca18(SiO4)6(PO4)3(CO3)F3O","6808","Israel"
"Arcanite","K2S6+O4","920","USA"
"Archerite","H2KPO4","921","Australia"
"Arctite","(Na5Ca)Ca6Ba(PO4)6F3","922","Russia"
"Arcubisite","Ag6CuBiS4","923","Denmark (Greenland)"
"Ardaite","Pb2+17Sb3+15S2-35Cl9","924","Bulgaria"
"Ardealite","Ca2(PO3OH)(S6+O4)·4H2O","925","Romania"
"Ardennite-(As)","Mn2+4Al4(AlMg)(As5+O4)(SiO4)2(Si3O10)(OH)6","926","Belgium"
"Ardennite-(V)","Mn2+4(AlMg)Al4(Si5V5+)O22(OH)6","5520","Italy"
"Arfvedsonite","NaNa2(Fe2+4Fe3+)Si8O22(OH)2","927","Denmark (Greenland)"
"Argandite","Mn2+7(V5+O4)2(OH)8","5850","Switzerland"
"Argentobaumhauerite","Ag1.5Pb22As33.5S72","1058","Switzerland"
"Argentodufrénoysite","Ag1+3Pb2+26As3+35S2-80","6574","Switzerland"
"Argentojarosite","Ag1+Fe3+3(S6+O4)2(OH)6","928","USA"
"Argentoliveingite","Ag1+xPb2+40-2xAs3+48+xS2-112  (3 < x < 4)","6557","Switzerland"
"Argentopearceite","Ag1+16As3+2S2-11","7054","Czech Republic"
"Argentopentlandite","Ag(Fe,Ni)8S8","929","Russia"
"Argentopolybasite-<i>T</i>2<i>ac</i>","Ag1+16Sb3+2S2-11","7223","Slovakia"
"Argentopyrite","Ag1+Fe2+Fe3+S2-3","930","Czech Republic"
"Argentotennantite-(Zn)","Ag1+6Cu1+4Zn2+2As3+4S2-13","931","Kazakhstan"
"Argentotetrahedrite-(Fe)","Ag1+6(Cu1+4Fe2+2)Sb3+4S2-13","5374","Canada"
"Argentotetrahedrite-(Hg)","Ag1+6(Cu1+4Hg2+2)Sb3+4S2-13","7094","China"
"Argentotetrahedrite-(Zn)","Ag1+6(Cu1+4Zn2+2)Sb3+4S2-13","7085","Slovakia / Switzerland"
"Argesite","(N3-H4)7Bi3+3Cl16","6015","Italy"
"Argutite","GeO2","932","France"
"Argyrodite","Ag1+8Ge4+S2-6","933","Germany"
"Arhbarite","Cu2+2MgAs5+O4(OH)3","934","Morocco"
"Ariegilatite","BaCa12(SiO4)4(PO4)2F2O","6627","Israel"
"Arisite-(Ce)","NaCe2(CO3)2[(CO3)1-xF2x]F","5742","Canada / Namibia"
"Arisite-(La)","NaLa2(CO3)2[(CO3)1-xF2x]F","5748","Namibia"
"Aristarainite","Na2Mg[B6O8(OH)4]2·4H2O","935","Argentina"
"Armalcolite","(Mg,Fe2+)Ti4+2O5","936","Moon"
"Armangite","Mn2+26As3+18O50(CO3)(OH)4","937","Sweden"
"Armbrusterite","Na6K5Mn3+Mn2+14[Si9O22]4(OH)10·4H2O","5354","Russia"
"Armellinoite-(Ce)","Ca4Ce4+(As5+O4)4·H2O","6823","Italy"
"Armenite","BaCa2(Al6Si9)O30·2H2O","938","Norway"
"Armstrongite","CaZr4+Si6O15·2H2O","939","Mongolia"
"Arrheniusite-(Ce)","CaMg[(Ce7Y3)Ca5](SiO4)3(Si3B3O18)(As5+O4)(BO3)F11","6973","Sweden"
"Arrojadite-(BaNa)","BaNa3(NaCa)Fe2+13Al(PO4)11(PO3OH)(OH)2","6373","Italy"
"Arrojadite-(KFe)","(KNa)Fe2+(CaNa2)Fe2+13Al(PO4)11(PO3OH)(OH)2","5339","Brazil"
"Arrojadite-(KNa)","KNa3(CaNa2)Fe2+13Al(PO4)11(PO3OH)(OH)2","940","Canada"
"Arrojadite-(PbFe)","Pb2+Fe2+(CaNa2)Fe2+13Al(PO4)11(PO3OH)(OH)2","5341","Brazil"
"Arrojadite-(SrFe)","SrFe2+(CaNa2)Fe2+13Al(PO4)11(PO3OH)(OH)2","5340","Sweden"
"Arsenatrotitanite","NaTi4+(As5+O4)O","6591","Russia"
"Arsenbrackebuschite","Pb2+2(Fe3+,Zn2+)(As5+O4)2(OH,H2O)","941","Namibia /  Germany"
"Arsendescloizite","Pb2+Zn2+As5+O4(OH)","942","Namibia"
"Arsenic","As","943","unknown"
"Arseniopleite","NaCaMn2+Mn2+2(As5+O4)3","944","Sweden"
"Arseniosiderite","Ca2Fe3+3O2(As5+O4)3·3H2O","945","France"
"Arsenmarcobaldiite","Pb2+12(As3+3.2Sb3+2.8)S2-21","6573","Italy"
"Arsenmedaite","Mn2+6As5+Si5O18(OH)","6626","Italy"
"Arsenoclasite","Mn2+5(As5+O4)2(OH)4","946","Sweden"
"Arsenocrandallite","CaAl3(As5+O4)(As5+O3OH)(OH)6","947","Germany"
"Arsenoflorencite-(Ce)","Ce3+Al3(As5+O4)2(OH)6","948","Australia"
"Arsenoflorencite-(La)","La3+Al3(As5+O4)2(OH)6","5807","Russia"
"Arsenogorceixite","BaAl3As5+O4(As5+O3OH)(OH)6","949","Germany"
"Arsenogoyazite","SrAl3(As5+O4)(As5+O3OH)(OH)6","950","Germany"
"Arsenohauchecornite","Ni18Bi3AsS16","951","Canada"
"Arsenohopeite","Zn2+3(As5+O4)2·4H2O","5908","Namibia"
"Arsenolamprite","As","952","Germany"
"Arsenolite","As3+2O3","953","Germany"
"Arsenopalladinite","Pd8As3","954","Brazil"
"Arsenopyrite","Fe3+(AsS)3-","955","?"
"Arsenotučekite","Ni18Sb3AsS16","7018","Greece"
"Arsenovanmeersscheite","U6+(U6+O2)3(As5+O4)2(OH)6·4H2O","5573","Germany"
"Arsenoveszelyite","Cu2+2Zn2+(As5+O4)(OH)3·2H2O","7202","China"
"Arsenowagnerite","Mg2As5+O4F","6398","Russia"
"Arsenquatrandorite","Ag1+17.6Pb2+12.8Sb3+38.1As3+11.5S2-96","6150","Iran"
"Arsentsumebite","Pb2+2Cu2+(As5+O4)(S6+O4)(OH)","958","Namibia"
"Arsenudinaite","NaMg4(As5+O4)3","6799","Russia"
"Arsenuranospathite","Al(U6+O2)2(As5+O4)2F·20H2O","959","Germany"
"Arsenuranylite","Ca(U6+O2)4(As5+O4)2(OH)4·6H2O","960","Uzbekistan"
"Arsiccioite","Ag1+Hg2+2Tl1+As3+2S2-6","6220","Italy"
"Arsmirandite","Na18Cu2+12Fe3+O8(As5+O4)8Cl5","6379","Russia"
"Arthurite","Cu2+Fe3+2(As5+O4)2(OH)2·4H2O","961","United Kingdom"
"Artinite","Mg2CO3(OH)2·3H2O","962","Italy"
"Artroeite","Pb2+AlF3(OH)2","963","USA"
"Artsmithite","Hg1+4Al(PO4)1.74(OH)1.78","964","USA"
"Arupite","Ni2+3(PO4)2·8H2O","965","Brazil"
"Arzrunite","Pb2+2Cu2+4S6+O4(OH)4Cl6·2H2O","5379","Chile"
"Asbecasite","Ca3Ti4+As3+6Be2Si2O20","967","Switzerland"
"Asbolane","Mn4+(O,OH)2·(Co3+,Ni2+,Mg,Ca)x(OH)2x·nH2O","968","?"
"Aschamalmite","Pb2+6-3xBi3+2+xS2-9","969","Austria"
"Ashburtonite","HPb2+4Cu2+4(Si4O12)(HCO3)4(OH)4Cl","970","Australia"
"Ashcroftine-(Y)","K5Na5Y12Si28O70(OH)2(CO3)8·8H2O","971","Denmark (Greenland)"
"Ashoverite","Zn2+(OH)2","972","United Kingdom"
"Asimowite","Fe2+2SiO4","6831","China (meteorite) / Chile (meteorite)"
"Asisite","Pb2+7SiO8Cl2","973","Namibia"
"Åskagenite-(Nd)","Mn2+Nd(Al2Fe3+)[Si2O7][SiO4]O2","5803","Sweden"
"Aspedamite","[box]12(Fe3+,Fe2+)3Nb5+4[Th4+(Nb5+,Fe3+)12O42][(H2O),(OH)]12","6000","Norway"
"Aspidolite","NaMg3(Si3Al)O10(OH)2","974","Japan"
"Asselbornite","Pb2+(U6+O2)4(Bi3+O)3(As5+O4)2(OH)7·4H2O","975","Germany"
"Astrocyanite-(Ce)","Cu2+2Ce3+2(U6+O2)(CO3)5(OH)2·1.5H2O","976","Democratic Republic of the Congo"
"Astrophyllite","K2NaFe2+7Ti4+2(Si4O12)2O2(OH)4F","977","Norway"
"Atacamite","Cu2+2Cl(OH)3","978","Chile"
"Atelestite","Bi3+2O(As5+O4)(OH)","979","Germany"
"Atelisite-(Y)","Y4Si3O8(OH)8","5923","Norway"
"Atencioite","Ca2Fe2+3Mg2Be4(PO4)6(OH)4·6H2O","5291","Brazil"
"Athabascaite","Cu5Se4","980","Canada"
"Atheneite","Pd2(As0.75Hg0.25)","981","Brazil"
"Atlasovite","Cu2+6Fe3+Bi3+O4(S6+O4)5·KCl","982","Russia"
"Atokite","Pd3Sn","983","South Africa"
"Attakolite","CaMn2+Al4(HSiO4)(PO4)3(OH)4","984","Sweden"
"Attikaite","Ca3Cu2+2Al2(As5+O4)4(OH)4·2H2O","5357","Greece"
"Aubertite","Cu2+Al(S6+O4)2Cl·14H2O","985","Chile"
"Auerbakhite","Mn2+Tl1+2As3+2S2-5","7053","Russia"
"Augelite","Al2PO4(OH)3","986","Sweden"
"Augite","(Ca,Mg,Fe2+,Fe3+)2(Si,Al)2O6","987","?"
"Auriacusite","Fe3+Cu2+(As5+O4)O","5764","USA"
"Aurichalcite","Zn2+5(CO3)2(OH)6","988","Russia"
"Auricupride","Cu3Au","989","Russia"
"Aurihydrargyrumite","Au6Hg5","6646","Japan"
"Aurivilliusite","Hg1+Hg2+OI1-","5192","USA"
"Aurorite","Mn2+Mn4+3O7·3H2O","990","USA"
